ID+AF8-NOTICE+AF8-CN,TED+AF8-NOTICE+AF8-URL,YEAR,ID+AF8-TYPE,DT+AF8-DISPATCH,XSD+AF8-VERSION,CANCELLED,CORRECTIONS,FUTURE+AF8-CAN+AF8-ID,FUTURE+AF8-CAN+AF8-ID+AF8-ESTIMATED,B+AF8-MULTIPLE+AF8-CAE,CAE+AF8-NAME,CAE+AF8-NATIONALID,CAE+AF8-ADDRESS,CAE+AF8-TOWN,CAE+AF8-POSTAL+AF8-CODE,ISO+AF8-COUNTRY+AF8-CODE,B+AF8-MULTIPLE+AF8-COUNTRY,ISO+AF8-COUNTRY+AF8-CODE+AF8-ALL,CAE+AF8-TYPE,EU+AF8-INST+AF8-CODE,MAIN+AF8-ACTIVITY,B+AF8-ON+AF8-BEHALF,B+AF8-INVOLVES+AF8-JOINT+AF8-PROCUREMENT,B+AF8-AWARDED+AF8-BY+AF8-CENTRAL+AF8-BODY,TYPE+AF8-OF+AF8-CONTRACT,TAL+AF8-LOCATION+AF8-NUTS,B+AF8-FRA+AF8-AGREEMENT,FRA+AF8-ESTIMATED,B+AF8-FRA+AF8-SINGLE+AF8-OPERATOR,FRA+AF8-NUMBER+AF8-OPERATORS,FRA+AF8-NUMBER+AF8-MAX+AF8-OPERATORS,B+AF8-DYN+AF8-PURCH+AF8-SYST,CPV,ID+AF8-LOT,ADDITIONAL+AF8-CPVS,B+AF8-GPA,LOTS+AF8-NUMBER,LOTS+AF8-SUBMISSION,B+AF8-VARIANTS,VALUE+AF8-EURO,VALUE+AF8-EURO+AF8-FIN+AF8-1,VALUE+AF8-EURO+AF8-FIN+AF8-2,B+AF8-OPTIONS,B+AF8-EU+AF8-FUNDS,B+AF8-RENEWALS,DURATION,CONTRACT+AF8-START,CONTRACT+AF8-COMPLETION,TOP+AF8-TYPE,B+AF8-ACCELERATED,ENV+AF8-OPERATORS,ENV+AF8-MIN+AF8-OPERATORS,ENV+AF8-MAX+AF8-OPERATORS,CRIT+AF8-CODE,CRIT+AF8-PRICE+AF8-WEIGHT,CRIT+AF8-CRITERIA,CRIT+AF8-WEIGHTS,B+AF8-ELECTRONIC+AF8-AUCTION,DT+AF8-APPLICATIONS,B+AF8-LANGUAGE+AF8-ANY+AF8-EC,ADMIN+AF8-LANGUAGES+AF8-TENDER,ADMIN+AF8-OTHER+AF8-LANGUAGES+AF8-TENDER,B+AF8-RECURRENT+AF8-PROCUREMENT,is_outlier
202037,ted.europa.eu/udl?uri+AD0-TED:NOTICE:37+AC0-2020:TEXT:EN:HTML,2020,2,31/12/19,R209.S3,0,0,,0,N,Ville de Saint+AC0-Andr+//3//Q- (974),,place du 2 D+//3//Q-cembre +//3//f/9- BP 505,Saint+AC0-Andr+//3//Q-,97440,FR,N,,3,,General public+AFw-services,N,N,N,W,FRY4,N,,,,,N,45112500,3.0,45112710,Y,3,,N,,,,N,N,N,11.0,,,OPE,,,,,M,40,Valeur technique,60,N,17/02/20,,FR,,N,True
202038,ted.europa.eu/udl?uri+AD0-TED:NOTICE:38+AC0-2020:TEXT:EN:HTML,2020,2,31/12/19,R209.S3,0,2,,0,N,Ville de Saint Andr+//3//Q- (974),,Place du 2 d+//3//Q-cembre +//3//f/9- BP 505,Saint+AC0-Andr+//3//Q-,97440,FR,N,,3,,General public+AFw-services,N,N,N,W,FRY40,N,,,,,N,45112500,1.0,45112500+AC0ALQAt-45233250,Y,3,,N,,,,Y,N,N,28.0,,,OPE,,,,,M,40,Valeur technique,60,N,17/02/20,,FR,,N,True
202038,ted.europa.eu/udl?uri+AD0-TED:NOTICE:38+AC0-2020:TEXT:EN:HTML,2020,2,31/12/19,R209.S3,0,2,,0,N,Ville de Saint Andr+//3//Q- (974),,Place du 2 d+//3//Q-cembre +//3//f/9- BP 505,Saint+AC0-Andr+//3//Q-,97440,FR,N,,3,,General public+AFw-services,N,N,N,W,FRY4,N,,,,,N,45112500,2.0,45316110,Y,3,,N,,,,Y,N,N,28.0,,,OPE,,,,,M,40,Valeur technique,60,N,17/02/20,,FR,,N,True
202038,ted.europa.eu/udl?uri+AD0-TED:NOTICE:38+AC0-2020:TEXT:EN:HTML,2020,2,31/12/19,R209.S3,0,2,,0,N,Ville de Saint Andr+//3//Q- (974),,Place du 2 d+//3//Q-cembre +//3//f/9- BP 505,Saint+AC0-Andr+//3//Q-,97440,FR,N,,3,,General public+AFw-services,N,N,N,W,FRY4,N,,,,,N,45112500,3.0,45112710,Y,3,,N,,,,Y,N,N,28.0,,,OPE,,,,,M,40,Valeur technique,60,N,17/02/20,,FR,,N,True
202041,ted.europa.eu/udl?uri+AD0-TED:NOTICE:41+AC0-2020:TEXT:EN:HTML,2020,2,31/12/19,R209.S3,0,0,2020154596.0,0,N,Valstybin+//3//Q- saugom+//3//Q- teritorij+//3//Q- tarnyba prie Aplinkos ministerijos,188724381,Antakalnio g. 25,Vilnius,LT+AC0-10312,LT,N,,1,,Environment,N,N,N,W,LT,N,,,,,N,45000000,1.0,45000000,Y,2,,N,,,,N,Y,Y,24.0,,,OPE,,,,,L,,,,N,03/02/20,,LT,,N,True
202041,ted.europa.eu/udl?uri+AD0-TED:NOTICE:41+AC0-2020:TEXT:EN:HTML,2020,2,31/12/19,R209.S3,0,0,2020154596.0,0,N,Valstybin+//3//Q- saugom+//3//Q- teritorij+//3//Q- tarnyba prie Aplinkos ministerijos,188724381,Antakalnio g. 25,Vilnius,LT+AC0-10312,LT,N,,1,,Environment,N,N,N,W,LT,N,,,,,N,45000000,2.0,45000000,Y,2,,N,,,,N,Y,Y,24.0,,,OPE,,,,,L,,,,N,03/02/20,,LT,,N,True
202049,ted.europa.eu/udl?uri+AD0-TED:NOTICE:49+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,,0,N,C+//3//Q-te d'Azur Habitat,49271391200011,53 boulevard Ren+//3//Q- Cassin,Nice,6200,FR,N,,6,,Housing and community amenities,N,N,N,W,FRL03,Y,,Y,,,N,45262522,1.0,45262522,Y,4,,N,320000.0,320000.0,320000.0,N,N,Y,12.0,,,OPE,,,,,M,60,Valeur technique,40,N,03/02/20,,FR,,Y,True
202049,ted.europa.eu/udl?uri+AD0-TED:NOTICE:49+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,,0,N,C+//3//Q-te d'Azur Habitat,49271391200011,53 boulevard Ren+//3//Q- Cassin,Nice,6200,FR,N,,6,,Housing and community amenities,N,N,N,W,FRL03,Y,,Y,,,N,45262522,2.0,45262522,Y,4,,N,320000.0,320000.0,320000.0,N,N,Y,12.0,,,OPE,,,,,M,60,Valeur technique,40,N,03/02/20,,FR,,Y,True
202049,ted.europa.eu/udl?uri+AD0-TED:NOTICE:49+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,,0,N,C+//3//Q-te d'Azur Habitat,49271391200011,53 boulevard Ren+//3//Q- Cassin,Nice,6200,FR,N,,6,,Housing and community amenities,N,N,N,W,FRL03,Y,,Y,,,N,45262522,4.0,34928480,Y,4,,N,320000.0,320000.0,320000.0,N,N,Y,12.0,,,OPE,,,,,M,60,Valeur technique,40,N,03/02/20,,FR,,Y,True
2020131,ted.europa.eu/udl?uri+AD0-TED:NOTICE:131+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,2020174394.0,0,N,+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0- +//3//f/9//0- +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9- +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9- +//3//Q- +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- (+//3//f/9//3//f/9//3//Q-) +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0- +//3//Q-. +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//f/9- +//3//f/9//3//f/9-,175905780,+//3//f/9//0-. +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0- +//3//Q-. +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9- +//3//f/9- 109,+//3//f/9//3//f/9//3//f/9//0-,1113,BG,N,,6,,Other,N,N,N,U,BG411,N,,,,,N,38000000,,38000000,N,1,,N,61611.62,61611.62,61611.62,N,Y,N,7.89,,,OPE,,,,,M,40 +ACU-,+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9- +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//Q- +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0-,60 +ACU-,N,10/02/20,,BG,,N,True
2020140,ted.europa.eu/udl?uri+AD0-TED:NOTICE:140+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,2020351502.0,0,Y,Region Hovedstaden+AC0ALQAt-Region Hovedstaden+AC0ALQAt-Region Midtjylland+AC0ALQAt-Region Nordjylland+AC0ALQAt-Region Sj+//3//Q-lland,29190623,Kongens V+//3//Q-nge 2+AC0ALQAt-Kongens V+//3//Q-nge 2,Hiller+//3//Q-d+AC0ALQAt-Hiller+//3//Q-d+AC0ALQAt-Viborg+AC0ALQAt-Aalborg +//3//QAtAC0ALQ-Sor+//3//Q-,3400+AC0ALQAt-3400,DK,N,,3,,Health,Y,Y,N,U,DK0,N,K,,,,N,33192120,1.0,33192310,Y,4,,N,,,,Y,N,Y,36.0,,,OPE,,,,,,,,,N,28/02/20,,DA,,Y,True
2020140,ted.europa.eu/udl?uri+AD0-TED:NOTICE:140+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,2020351502.0,0,Y,Region Hovedstaden+AC0ALQAt-Region Hovedstaden+AC0ALQAt-Region Midtjylland+AC0ALQAt-Region Nordjylland+AC0ALQAt-Region Sj+//3//Q-lland,29190623,Kongens V+//3//Q-nge 2+AC0ALQAt-Kongens V+//3//Q-nge 2,Hiller+//3//Q-d+AC0ALQAt-Hiller+//3//Q-d+AC0ALQAt-Viborg+AC0ALQAt-Aalborg +//3//QAtAC0ALQ-Sor+//3//Q-,3400+AC0ALQAt-3400,DK,N,,3,,Health,Y,Y,N,U,DK0,N,K,,,,N,33192120,2.0,33192310,Y,4,,N,,,,Y,N,Y,36.0,,,OPE,,,,,,,,,N,28/02/20,,DA,,Y,True
2020140,ted.europa.eu/udl?uri+AD0-TED:NOTICE:140+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,2020351502.0,0,Y,Region Hovedstaden+AC0ALQAt-Region Hovedstaden+AC0ALQAt-Region Midtjylland+AC0ALQAt-Region Nordjylland+AC0ALQAt-Region Sj+//3//Q-lland,29190623,Kongens V+//3//Q-nge 2+AC0ALQAt-Kongens V+//3//Q-nge 2,Hiller+//3//Q-d+AC0ALQAt-Hiller+//3//Q-d+AC0ALQAt-Viborg+AC0ALQAt-Aalborg +//3//QAtAC0ALQ-Sor+//3//Q-,3400+AC0ALQAt-3400,DK,N,,3,,Health,Y,Y,N,U,DK01,N,K,,,,N,33192120,3.0,33192310,Y,4,,N,,,,Y,N,Y,36.0,,,OPE,,,,,,,,,N,28/02/20,,DA,,Y,True
2020140,ted.europa.eu/udl?uri+AD0-TED:NOTICE:140+AC0-2020:TEXT:EN:HTML,2020,2,30/12/19,R209.S3,0,0,2020351502.0,0,Y,Region Hovedstaden+AC0ALQAt-Region Hovedstaden+AC0ALQAt-Region Midtjylland+AC0ALQAt-Region Nordjylland+AC0ALQAt-Region Sj+//3//Q-lland,29190623,Kongens V+//3//Q-nge 2+AC0ALQAt-Kongens V+//3//Q-nge 2,Hiller+//3//Q-d+AC0ALQAt-Hiller+//3//Q-d+AC0ALQAt-Viborg+AC0ALQAt-Aalborg +//3//QAtAC0ALQ-Sor+//3//Q-,3400+AC0ALQAt-3400,DK,N,,3,,Health,Y,Y,N,U,DK05,N,K,,,,N,33192120,4.0,33192310,Y,4,,N,,,,Y,N,Y,36.0,,,OPE,,,,,,,,,N,28/02/20,,DA,,Y,True
2020142,ted.europa.eu/udl?uri+AD0-TED:NOTICE:142+AC0-2020:TEXT:EN:HTML,2020,2,29/12/19,R209.S3,0,0,2020195815.0,0,N,Zeleno i modro d.o.o.,44813350399,Bra+//3//Q-e Radi+//3//Q- 1,Ka+//3//Q-tel Su+//3//Q-urac,21212,HR,N,,6,,Housing and community amenities,N,N,N,U,HR035,Y,,Y,,,N,9130000,,9130000,N,1,,N,504085.75,504085.75,504085.75,N,N,N,48.0,,,OPE,,,,,M,90 bodova,Broj benzinskih postaja na podru+//3//Q-ju Grada Ka+//3//Q-tela,10 bodova,N,30/01/20,,HR,,N,True
